country,year,liters,value
Estados Unidos,1985,11025,15805
França,1985,540136,735516
Geórgia,1985,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1985,0,0
Grécia,1985,0,0
Hong Kong,1985,0,0
Hungria,1985,0,0
Indonesia,1985,0,0
Irlanda,1985,0,0
Israel,1985,0,0
Itália,1985,327976,385365
Japão,1985,0,0
Iugoslavia,1985,14238,11619
Líbano,1985,0,0
Luxemburgo,1985,0,0
Macedônia,1985,0,0
Marrocos,1985,0,0
México,1985,0,0
Moldávia,1985,0,0
Montenegro,1985,0,0
Noruega,1985,0,0
Nova Zelândia,1985,0,0
Paises Baixos (Holanda),1985,0,0
Panamá,1985,0,0
Peru,1985,0,0
Porto Rico,1985,0,0
Portugal,1985,1484998,1406897
Reino Unido,1985,0,0
Republica Dominicana,1985,0,0
Romênia,1985,0,0
Rússia,1985,0,0
San Marino,1985,0,0
Sérvia,1985,0,0
Síria,1985,0,0
Suíça,1985,0,0
"Tcheca, República",1985,0,0
Tunísia,1985,0,0
Turquia,1985,0,0
Ucrânia,1985,0,0
Uruguai,1985,0,0
Não consta na tabela,1985,0,0
Não declarados,1985,0,0
Outros,1985,5400,12812
Africa do Sul,1986,0,0
Alemanha,1986,2357113,3008737
Argélia,1986,0,0
Arábia Saudita,1986,0,0
Argentina,1986,170413,242678
Armênia,1986,0,0
Austrália,1986,0,0
Áustria,1986,1740,3508
Bermudas,1986,0,0
Bélgica,1986,0,0
Bolívia,1986,0,0
Bósnia-Herzegovina,1986,0,0
Brasil,1986,0,0
Bulgária,1986,0,0
Canada,1986,0,0
Chile,1986,1347894,1416109
China,1986,0,0
"Coreia do Sul, República",1986,0,0
Croácia,1986,0,0
Emirados Árabes Unidos,1986,0,0
Eslovênia,1986,0,0
Eslováquia,1986,0,0
Espanha,1986,52429,61130
Estados Unidos,1986,5796,9218
França,1986,625421,980754
Geórgia,1986,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1986,0,0
Grécia,1986,0,0
Hong Kong,1986,0,0
Hungria,1986,0,0
Indonesia,1986,0,0
Irlanda,1986,0,0
Israel,1986,0,0
Itália,1986,430029,601494
Japão,1986,0,0
Iugoslavia,1986,0,0
Líbano,1986,0,0
Luxemburgo,1986,0,0
Macedônia,1986,0,0
Marrocos,1986,0,0
México,1986,0,0
Moldávia,1986,0,0
Montenegro,1986,0,0
Noruega,1986,0,0
Nova Zelândia,1986,0,0
Paises Baixos (Holanda),1986,0,0
Panamá,1986,0,0
Peru,1986,0,0
Porto Rico,1986,0,0
Portugal,1986,2270772,2258643
Reino Unido,1986,0,0
Republica Dominicana,1986,0,0
Romênia,1986,0,0
Rússia,1986,0,0
San Marino,1986,0,0
Sérvia,1986,0,0
Síria,1986,0,0
Suíça,1986,0,0
"Tcheca, República",1986,0,0
Tunísia,1986,0,0
Turquia,1986,0,0
Ucrânia,1986,0,0
Uruguai,1986,0,0
Não consta na tabela,1986,0,0
Não declarados,1986,0,0
Outros,1986,15717,18768
Africa do Sul,1987,0,0
Alemanha,1987,1307519,1863924
Argélia,1987,0,0
Arábia Saudita,1987,0,0
Argentina,1987,98854,136841
Armênia,1987,0,0
Austrália,1987,0,0
Áustria,1987,2520,7650
Bermudas,1987,0,0
Bélgica,1987,0,0
Bolívia,1987,0,0
Bósnia-Herzegovina,1987,0,0
Brasil,1987,0,0
Bulgária,1987,0,0
Canada,1987,0,0
Chile,1987,914549,1008445
China,1987,0,0
"Coreia do Sul, República",1987,0,0
Croácia,1987,0,0
Emirados Árabes Unidos,1987,0,0
Eslovênia,1987,0,0
Eslováquia,1987,0,0
Espanha,1987,71472,101606
Estados Unidos,1987,16517,17965
França,1987,340250,653846
Geórgia,1987,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1987,0,0
Grécia,1987,0,0
Hong Kong,1987,0,0
Hungria,1987,0,0
Indonesia,1987,0,0
Irlanda,1987,0,0
Israel,1987,0,0
Itália,1987,306950,467597
Japão,1987,0,0
Iugoslavia,1987,17835,14390
Líbano,1987,0,0
Luxemburgo,1987,0,0
Macedônia,1987,0,0
Marrocos,1987,0,0
México,1987,0,0
Moldávia,1987,0,0
Montenegro,1987,0,0
Noruega,1987,0,0
Nova Zelândia,1987,0,0
Paises Baixos (Holanda),1987,0,0
Panamá,1987,0,0
Peru,1987,0,0
Porto Rico,1987,0,0
Portugal,1987,1477093,1610041
Reino Unido,1987,0,0
Republica Dominicana,1987,0,0
Romênia,1987,0,0
Rússia,1987,0,0
San Marino,1987,0,0
Sérvia,1987,0,0
Síria,1987,0,0
Suíça,1987,0,0
"Tcheca, República",1987,0,0
Tunísia,1987,0,0
Turquia,1987,0,0
Ucrânia,1987,0,0
Uruguai,1987,0,0
Não consta na tabela,1987,0,0
Não declarados,1987,0,0
Outros,1987,28,40
Africa do Sul,1988,0,0
Alemanha,1988,2029271,2757417
Argélia,1988,0,0
Arábia Saudita,1988,0,0
Argentina,1988,414931,590758
Armênia,1988,0,0
Austrália,1988,0,0
Áustria,1988,1800,7045
Bermudas,1988,0,0
Bélgica,1988,0,0
Bolívia,1988,0,0
Bósnia-Herzegovina,1988,0,0
Brasil,1988,0,0
Bulgária,1988,0,0
Canada,1988,0,0
Chile,1988,1240065,1474473
China,1988,0,0
"Coreia do Sul, República",1988,0,0
Croácia,1988,0,0
Emirados Árabes Unidos,1988,0,0
Eslovênia,1988,0,0
Eslováquia,1988,0,0
Espanha,1988,67339,108259
Estados Unidos,1988,6120,7880
França,1988,435573,724549
Geórgia,1988,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1988,0,0
Grécia,1988,0,0
Hong Kong,1988,0,0
Hungria,1988,0,0
Indonesia,1988,0,0
Irlanda,1988,0,0
Israel,1988,0,0
Itália,1988,410419,703116
Japão,1988,0,0
Iugoslavia,1988,20160,17700
Líbano,1988,0,0
Luxemburgo,1988,0,0
Macedônia,1988,0,0
Marrocos,1988,0,0
México,1988,0,0
Moldávia,1988,0,0
Montenegro,1988,0,0
Noruega,1988,0,0
Nova Zelândia,1988,0,0
Paises Baixos (Holanda),1988,0,0
Panamá,1988,0,0
Peru,1988,0,0
Porto Rico,1988,0,0
Portugal,1988,1454323,1884873
Reino Unido,1988,0,0
Republica Dominicana,1988,0,0
Romênia,1988,0,0
Rússia,1988,0,0
San Marino,1988,0,0
Sérvia,1988,0,0
Síria,1988,0,0
Suíça,1988,0,0
"Tcheca, República",1988,0,0
Tunísia,1988,0,0
Turquia,1988,0,0
Ucrânia,1988,0,0
Uruguai,1988,0,0
Não consta na tabela,1988,0,0
Não declarados,1988,0,0
Outros,1988,435,450
Africa do Sul,1989,0,0
Alemanha,1989,2885143,4074739
Argélia,1989,0,0
Arábia Saudita,1989,0,0
Argentina,1989,716062,1153585
Armênia,1989,0,0
Austrália,1989,0,0
Áustria,1989,0,0
Bermudas,1989,0,0
Bélgica,1989,0,0
Bolívia,1989,0,0
Bósnia-Herzegovina,1989,0,0
Brasil,1989,0,0
Bulgária,1989,0,0
Canada,1989,0,0
Chile,1989,2020687,2675722
China,1989,0,0
"Coreia do Sul, República",1989,0,0
Croácia,1989,0,0
Emirados Árabes Unidos,1989,0,0
Eslovênia,1989,0,0
Eslováquia,1989,0,0
Espanha,1989,54954,130171
Estados Unidos,1989,14400,53390
França,1989,701300,1422973
Geórgia,1989,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1989,0,0
Grécia,1989,0,0
Hong Kong,1989,0,0
Hungria,1989,0,0
Indonesia,1989,0,0
Irlanda,1989,0,0
Israel,1989,0,0
Itália,1989,750290,1341632
Japão,1989,0,0
Iugoslavia,1989,17100,19150
Líbano,1989,0,0
Luxemburgo,1989,0,0
Macedônia,1989,0,0
Marrocos,1989,0,0
México,1989,0,0
Moldávia,1989,0,0
Montenegro,1989,0,0
Noruega,1989,0,0
Nova Zelândia,1989,0,0
Paises Baixos (Holanda),1989,0,0
Panamá,1989,0,0
Peru,1989,0,0
Porto Rico,1989,0,0
Portugal,1989,1690391,2924935
Reino Unido,1989,0,0
Republica Dominicana,1989,0,0
Romênia,1989,0,0
Rússia,1989,0,0
San Marino,1989,0,0
Sérvia,1989,0,0
Síria,1989,0,0
Suíça,1989,0,0
"Tcheca, República",1989,0,0
Tunísia,1989,0,0
Turquia,1989,0,0
Ucrânia,1989,0,0
Uruguai,1989,0,0
Não consta na tabela,1989,0,0
Não declarados,1989,0,0
Outros,1989,10788,21458
Africa do Sul,1990,0,0
Alemanha,1990,3342223,5875679
Argélia,1990,0,0
Arábia Saudita,1990,0,0
Argentina,1990,455774,721398
Armênia,1990,0,0
Austrália,1990,0,0
Áustria,1990,0,0
Bermudas,1990,0,0
Bélgica,1990,0,0
Bolívia,1990,0,0
Bósnia-Herzegovina,1990,0,0
Brasil,1990,0,0
Bulgária,1990,0,0
Canada,1990,0,0
Chile,1990,1530497,2034195
China,1990,0,0
"Coreia do Sul, República",1990,0,0
Croácia,1990,0,0
Emirados Árabes Unidos,1990,0,0
Eslovênia,1990,0,0
Eslováquia,1990,0,0
Espanha,1990,132157,503357
Estados Unidos,1990,27900,142509
França,1990,479460,1807082
Geórgia,1990,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1990,0,0
Grécia,1990,0,0
Hong Kong,1990,0,0
Hungria,1990,0,0
Indonesia,1990,0,0
Irlanda,1990,0,0
Israel,1990,0,0
Itália,1990,497616,1284638
Japão,1990,0,0
Iugoslavia,1990,38640,44100
Líbano,1990,0,0
Luxemburgo,1990,0,0
Macedônia,1990,0,0
Marrocos,1990,0,0
México,1990,0,0
Moldávia,1990,0,0
Montenegro,1990,0,0
Noruega,1990,0,0
Nova Zelândia,1990,0,0
Paises Baixos (Holanda),1990,0,0
Panamá,1990,0,0
Peru,1990,0,0
Porto Rico,1990,0,0
Portugal,1990,1423882,2793037
Reino Unido,1990,0,0
Republica Dominicana,1990,0,0
Romênia,1990,0,0
Rússia,1990,0,0
San Marino,1990,0,0
Sérvia,1990,0,0
Síria,1990,0,0
Suíça,1990,0,0
"Tcheca, República",1990,0,0
Tunísia,1990,0,0
Turquia,1990,0,0
Ucrânia,1990,0,0
Uruguai,1990,0,0
Não consta na tabela,1990,0,0
Não declarados,1990,0,0
Outros,1990,65835,145083
Africa do Sul,1991,0,0
Alemanha,1991,3096425,4545305
Argélia,1991,0,0
Arábia Saudita,1991,0,0
Argentina,1991,852441,1493649
Armênia,1991,0,0
Austrália,1991,0,0
Áustria,1991,6180,21658
Bermudas,1991,0,0
Bélgica,1991,0,0
Bolívia,1991,0,0
Bósnia-Herzegovina,1991,0,0
Brasil,1991,0,0
Bulgária,1991,0,0
Canada,1991,0,0
Chile,1991,1424430,1869655
China,1991,0,0
"Coreia do Sul, República",1991,0,0
Croácia,1991,0,0
Emirados Árabes Unidos,1991,0,0
Eslovênia,1991,0,0
Eslováquia,1991,0,0
Espanha,1991,52892,169698
Estados Unidos,1991,25655,62170
França,1991,503488,1870305
Geórgia,1991,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1991,0,0
Grécia,1991,0,0
Hong Kong,1991,0,0
Hungria,1991,0,0
Indonesia,1991,0,0
Irlanda,1991,0,0
Israel,1991,0,0
Itália,1991,566035,1331248
Japão,1991,0,0
Iugoslavia,1991,25650,31825
Líbano,1991,0,0
Luxemburgo,1991,0,0
Macedônia,1991,0,0
Marrocos,1991,0,0
México,1991,0,0
Moldávia,1991,0,0
Montenegro,1991,0,0
Noruega,1991,0,0
Nova Zelândia,1991,0,0
Paises Baixos (Holanda),1991,0,0
Panamá,1991,0,0
Peru,1991,0,0
Porto Rico,1991,0,0
Portugal,1991,1361858,2525520
Reino Unido,1991,0,0
Republica Dominicana,1991,0,0
Romênia,1991,0,0
Rússia,1991,0,0
San Marino,1991,0,0
Sérvia,1991,0,0
Síria,1991,0,0
Suíça,1991,0,0
"Tcheca, República",1991,0,0
Tunísia,1991,0,0
Turquia,1991,0,0
Ucrânia,1991,0,0
Uruguai,1991,0,0
Não consta na tabela,1991,0,0
Não declarados,1991,0,0
Outros,1991,97662,161151
Africa do Sul,1992,0,0
Alemanha,1992,2515557,3644055
Argélia,1992,0,0
Arábia Saudita,1992,0,0
Argentina,1992,444896,815668
Armênia,1992,0,0
Austrália,1992,0,0
Áustria,1992,0,0
Bermudas,1992,0,0
Bélgica,1992,20700,30575
Bolívia,1992,0,0
Bósnia-Herzegovina,1992,0,0
Brasil,1992,0,0
Bulgária,1992,0,0
Canada,1992,0,0
Chile,1992,1073114,1421889
China,1992,0,0
"Coreia do Sul, República",1992,0,0
Croácia,1992,0,0
Emirados Árabes Unidos,1992,0,0
Eslovênia,1992,0,0
Eslováquia,1992,0,0
Espanha,1992,51921,144087
Estados Unidos,1992,16836,44552
França,1992,356417,888246
Geórgia,1992,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1992,0,0
Grécia,1992,0,0
Hong Kong,1992,0,0
Hungria,1992,0,0
Indonesia,1992,0,0
Irlanda,1992,0,0
Israel,1992,0,0
Itália,1992,540439,1307032
Japão,1992,0,0
Iugoslavia,1992,25596,31968
Líbano,1992,0,0
Luxemburgo,1992,0,0
Macedônia,1992,0,0
Marrocos,1992,0,0
México,1992,0,0
Moldávia,1992,0,0
Montenegro,1992,0,0
Noruega,1992,0,0
Nova Zelândia,1992,0,0
Paises Baixos (Holanda),1992,0,0
Panamá,1992,0,0
Peru,1992,0,0
Porto Rico,1992,0,0
Portugal,1992,1034446,1792170
Reino Unido,1992,0,0
Republica Dominicana,1992,0,0
Romênia,1992,0,0
Rússia,1992,0,0
San Marino,1992,0,0
Sérvia,1992,0,0
Síria,1992,0,0
Suíça,1992,0,0
"Tcheca, República",1992,0,0
Tunísia,1992,0,0
Turquia,1992,0,0
Ucrânia,1992,0,0
Uruguai,1992,11247,21795
Não consta na tabela,1992,0,0
Não declarados,1992,0,0
Outros,1992,24465,59352
Africa do Sul,1993,0,0
Alemanha,1993,5721360,7155615
Argélia,1993,0,0
Arábia Saudita,1993,0,0
Argentina,1993,359542,795068
Armênia,1993,0,0
Austrália,1993,0,0
Áustria,1993,3580,5128
Bermudas,1993,0,0
Bélgica,1993,882,1391
Bolívia,1993,0,0
Bósnia-Herzegovina,1993,0,0
Brasil,1993,0,0
Bulgária,1993,0,0
Canada,1993,0,0
Chile,1993,1633996,2655683
China,1993,0,0
"Coreia do Sul, República",1993,0,0
Croácia,1993,0,0
Emirados Árabes Unidos,1993,0,0
Eslovênia,1993,0,0
Eslováquia,1993,0,0
Espanha,1993,48534,128664
Estados Unidos,1993,77914,177471
França,1993,924323,2132215
Geórgia,1993,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1993,0,0
Grécia,1993,0,0
Hong Kong,1993,0,0
Hungria,1993,0,0
Indonesia,1993,0,0
Irlanda,1993,0,0
Israel,1993,0,0
Itália,1993,1333424,2404136
Japão,1993,0,0
Iugoslavia,1993,8550,10500
Líbano,1993,0,0
Luxemburgo,1993,0,0
Macedônia,1993,0,0
Marrocos,1993,0,0
México,1993,0,0
Moldávia,1993,0,0
Montenegro,1993,0,0
Noruega,1993,0,0
Nova Zelândia,1993,0,0
Paises Baixos (Holanda),1993,0,0
Panamá,1993,0,0
Peru,1993,0,0
Porto Rico,1993,0,0
Portugal,1993,1678448,2873315
Reino Unido,1993,0,0
Republica Dominicana,1993,0,0
Romênia,1993,0,0
Rússia,1993,0,0
San Marino,1993,0,0
Sérvia,1993,0,0
Síria,1993,0,0
Suíça,1993,0,0
"Tcheca, República",1993,0,0
Tunísia,1993,0,0
Turquia,1993,0,0
Ucrânia,1993,0,0
Uruguai,1993,33040,69221
Não consta na tabela,1993,0,0
Não declarados,1993,0,0
Outros,1993,146730,412893
Africa do Sul,1994,0,0
Alemanha,1994,11047710,16068528
Argélia,1994,0,0
Arábia Saudita,1994,0,0
Argentina,1994,446315,730091
Armênia,1994,0,0
Austrália,1994,0,0
Áustria,1994,910,5612
Bermudas,1994,0,0
Bélgica,1994,0,0
Bolívia,1994,0,0
Bósnia-Herzegovina,1994,0,0
Brasil,1994,0,0
Bulgária,1994,0,0
Canada,1994,0,0
Chile,1994,2347724,3822138
China,1994,0,0
"Coreia do Sul, República",1994,0,0
Croácia,1994,0,0
Emirados Árabes Unidos,1994,0,0
Eslovênia,1994,0,0
Eslováquia,1994,0,0
Espanha,1994,166267,362863
Estados Unidos,1994,93789,212884
França,1994,1821215,3935308
Geórgia,1994,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1994,0,0
Grécia,1994,0,0
Hong Kong,1994,0,0
Hungria,1994,0,0
Indonesia,1994,0,0
Irlanda,1994,0,0
Israel,1994,0,0
Itália,1994,2745848,5058009
Japão,1994,0,0
Iugoslavia,1994,25920,36000
Líbano,1994,0,0
Luxemburgo,1994,0,0
Macedônia,1994,0,0
Marrocos,1994,0,0
México,1994,0,0
Moldávia,1994,0,0
Montenegro,1994,0,0
Noruega,1994,0,0
Nova Zelândia,1994,0,0
Paises Baixos (Holanda),1994,0,0
Panamá,1994,0,0
Peru,1994,0,0
Porto Rico,1994,0,0
Portugal,1994,2549247,4471214
Reino Unido,1994,0,0
Republica Dominicana,1994,0,0
Romênia,1994,0,0
Rússia,1994,0,0
San Marino,1994,0,0
Sérvia,1994,0,0
Síria,1994,0,0
Suíça,1994,0,0
"Tcheca, República",1994,0,0
Tunísia,1994,0,0
Turquia,1994,0,0
Ucrânia,1994,0,0
Uruguai,1994,35219,72528
Não consta na tabela,1994,0,0
Não declarados,1994,0,0
Outros,1994,174758,289230
Africa do Sul,1995,0,0
Alemanha,1995,11919346,19758144
Argélia,1995,0,0
Arábia Saudita,1995,0,0
Argentina,1995,1397904,1992083
Armênia,1995,0,0
Austrália,1995,0,0
Áustria,1995,1080,6205
Bermudas,1995,0,0
Bélgica,1995,0,0
Bolívia,1995,0,0
Bósnia-Herzegovina,1995,0,0
Brasil,1995,0,0
Bulgária,1995,0,0
Canada,1995,0,0
Chile,1995,2622381,4165531
China,1995,0,0
"Coreia do Sul, República",1995,0,0
Croácia,1995,0,0
Emirados Árabes Unidos,1995,0,0
Eslovênia,1995,0,0
Eslováquia,1995,0,0
Espanha,1995,385466,669208
Estados Unidos,1995,142331,313916
França,1995,2043172,5026251
Geórgia,1995,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1995,0,0
Grécia,1995,0,0
Hong Kong,1995,0,0
Hungria,1995,0,0
Indonesia,1995,0,0
Irlanda,1995,0,0
Israel,1995,0,0
Itália,1995,3859353,7542440
Japão,1995,0,0
Iugoslavia,1995,51840,81408
Líbano,1995,0,0
Luxemburgo,1995,0,0
Macedônia,1995,0,0
Marrocos,1995,0,0
México,1995,0,0
Moldávia,1995,0,0
Montenegro,1995,0,0
Noruega,1995,0,0
Nova Zelândia,1995,0,0
Paises Baixos (Holanda),1995,0,0
Panamá,1995,0,0
Peru,1995,0,0
Porto Rico,1995,0,0
Portugal,1995,5442249,10703599
Reino Unido,1995,0,0
Republica Dominicana,1995,0,0
Romênia,1995,0,0
Rússia,1995,0,0
San Marino,1995,0,0
Sérvia,1995,0,0
Síria,1995,0,0
Suíça,1995,0,0
"Tcheca, República",1995,0,0
Tunísia,1995,0,0
Turquia,1995,0,0
Ucrânia,1995,0,0
Uruguai,1995,33150,73695
Não consta na tabela,1995,0,0
Não declarados,1995,0,0
Outros,1995,200336,393140
Africa do Sul,1996,0,0
Alemanha,1996,8680860,10629243
Argélia,1996,0,0
Arábia Saudita,1996,0,0
Argentina,1996,779008,1438076
Armênia,1996,0,0
Austrália,1996,0,0
Áustria,1996,0,0
Bermudas,1996,0,0
Bélgica,1996,0,0
Bolívia,1996,0,0
Bósnia-Herzegovina,1996,0,0
Brasil,1996,0,0
Bulgária,1996,0,0
Canada,1996,0,0
Chile,1996,1964361,3273873
China,1996,0,0
"Coreia do Sul, República",1996,0,0
Croácia,1996,0,0
Emirados Árabes Unidos,1996,0,0
Eslovênia,1996,0,0
Eslováquia,1996,0,0
Espanha,1996,510076,939905
Estados Unidos,1996,275864,454266
França,1996,1917908,4370132
Geórgia,1996,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1996,0,0
Grécia,1996,0,0
Hong Kong,1996,0,0
Hungria,1996,0,0
Indonesia,1996,0,0
Irlanda,1996,0,0
Israel,1996,0,0
Itália,1996,3771901,8178592
Japão,1996,0,0
Iugoslavia,1996,0,0
Líbano,1996,0,0
Luxemburgo,1996,0,0
Macedônia,1996,0,0
Marrocos,1996,0,0
México,1996,0,0
Moldávia,1996,0,0
Montenegro,1996,0,0
Noruega,1996,0,0
Nova Zelândia,1996,0,0
Paises Baixos (Holanda),1996,0,0
Panamá,1996,0,0
Peru,1996,0,0
Porto Rico,1996,0,0
Portugal,1996,4438522,9226840
Reino Unido,1996,0,0
Republica Dominicana,1996,0,0
Romênia,1996,0,0
Rússia,1996,0,0
San Marino,1996,0,0
Sérvia,1996,0,0
Síria,1996,0,0
Suíça,1996,0,0
"Tcheca, República",1996,0,0
Tunísia,1996,0,0
Turquia,1996,0,0
Ucrânia,1996,0,0
Uruguai,1996,72000,164299
Não consta na tabela,1996,63755,148879
Não declarados,1996,21185,26664
Outros,1996,127039,295772
Africa do Sul,1997,0,0
Alemanha,1997,4867017,5108215
Argélia,1997,0,0
Arábia Saudita,1997,0,0
Argentina,1997,1013306,2089559
Armênia,1997,0,0
Austrália,1997,0,0
Áustria,1997,4404,10594
Bermudas,1997,0,0
Bélgica,1997,13791,95375
Bolívia,1997,0,0
Bósnia-Herzegovina,1997,0,0
Brasil,1997,0,0
Bulgária,1997,0,0
Canada,1997,0,0
Chile,1997,2951870,5453225
China,1997,0,0
"Coreia do Sul, República",1997,0,0
Croácia,1997,0,0
Emirados Árabes Unidos,1997,0,0
Eslovênia,1997,0,0
Eslováquia,1997,0,0
Espanha,1997,352213,1142017
Estados Unidos,1997,511333,1122364
França,1997,3388528,8771794
Geórgia,1997,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1997,0,0
Grécia,1997,0,0
Hong Kong,1997,0,0
Hungria,1997,0,0
Indonesia,1997,0,0
Irlanda,1997,0,0
Israel,1997,0,0
Itália,1997,5203832,11182645
Japão,1997,0,0
Iugoslavia,1997,0,0
Líbano,1997,0,0
Luxemburgo,1997,0,0
Macedônia,1997,0,0
Marrocos,1997,0,0
México,1997,0,0
Moldávia,1997,0,0
Montenegro,1997,0,0
Noruega,1997,0,0
Nova Zelândia,1997,0,0
Paises Baixos (Holanda),1997,0,0
Panamá,1997,0,0
Peru,1997,0,0
Porto Rico,1997,0,0
Portugal,1997,5421763,12467340
Reino Unido,1997,0,0
Republica Dominicana,1997,0,0
Romênia,1997,0,0
Rússia,1997,0,0
San Marino,1997,0,0
Sérvia,1997,0,0
Síria,1997,0,0
Suíça,1997,0,0
"Tcheca, República",1997,0,0
Tunísia,1997,0,0
Turquia,1997,0,0
Ucrânia,1997,0,0
Uruguai,1997,89117,209952
Não consta na tabela,1997,0,0
Não declarados,1997,0,0
Outros,1997,186470,548733
Africa do Sul,1998,0,0
Alemanha,1998,3014081,4834030
Argélia,1998,0,0
Arábia Saudita,1998,0,0
Argentina,1998,1295190,3073775
Armênia,1998,0,0
Austrália,1998,0,0
Áustria,1998,8926,59378
Bermudas,1998,0,0
Bélgica,1998,9363,40899
Bolívia,1998,0,0
Bósnia-Herzegovina,1998,0,0
Brasil,1998,0,0
Bulgária,1998,0,0
Canada,1998,0,0
Chile,1998,3203054,6005098
China,1998,0,0
"Coreia do Sul, República",1998,0,0
Croácia,1998,0,0
Emirados Árabes Unidos,1998,0,0
Eslovênia,1998,0,0
Eslováquia,1998,0,0
Espanha,1998,370580,1328280
Estados Unidos,1998,381199,885162
França,1998,3853865,12027414
Geórgia,1998,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1998,0,0
Grécia,1998,0,0
Hong Kong,1998,0,0
Hungria,1998,0,0
Indonesia,1998,0,0
Irlanda,1998,0,0
Israel,1998,0,0
Itália,1998,5481659,12837955
Japão,1998,0,0
Iugoslavia,1998,0,0
Líbano,1998,0,0
Luxemburgo,1998,0,0
Macedônia,1998,0,0
Marrocos,1998,0,0
México,1998,0,0
Moldávia,1998,0,0
Montenegro,1998,0,0
Noruega,1998,0,0
Nova Zelândia,1998,0,0
Paises Baixos (Holanda),1998,0,0
Panamá,1998,0,0
Peru,1998,0,0
Porto Rico,1998,0,0
Portugal,1998,4656474,12314487
Reino Unido,1998,0,0
Republica Dominicana,1998,0,0
Romênia,1998,0,0
Rússia,1998,0,0
San Marino,1998,0,0
Sérvia,1998,0,0
Síria,1998,0,0
Suíça,1998,0,0
"Tcheca, República",1998,0,0
Tunísia,1998,0,0
Turquia,1998,0,0
Ucrânia,1998,0,0
Uruguai,1998,277989,525654
Não consta na tabela,1998,0,0
Não declarados,1998,0,0
Outros,1998,187919,480461
Africa do Sul,1999,0,0
Alemanha,1999,2576557,4539354
Argélia,1999,0,0
Arábia Saudita,1999,0,0
Argentina,1999,2475780,5284871
Armênia,1999,0,0
Austrália,1999,0,0
Áustria,1999,83930,661104
Bermudas,1999,0,0
Bélgica,1999,5550,23433
Bolívia,1999,0,0
Bósnia-Herzegovina,1999,0,0
Brasil,1999,0,0
Bulgária,1999,0,0
Canada,1999,0,0
Chile,1999,4312887,8756515
China,1999,0,0
"Coreia do Sul, República",1999,0,0
Croácia,1999,0,0
Emirados Árabes Unidos,1999,0,0
Eslovênia,1999,0,0
Eslováquia,1999,0,0
Espanha,1999,396453,1906389
Estados Unidos,1999,674683,992353
França,1999,3529422,10122865
Geórgia,1999,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1999,0,0
Grécia,1999,0,0
Hong Kong,1999,0,0
Hungria,1999,0,0
Indonesia,1999,0,0
Irlanda,1999,0,0
Israel,1999,0,0
Itália,1999,6187860,14604418
Japão,1999,0,0
Iugoslavia,1999,0,0
Líbano,1999,0,0
Luxemburgo,1999,0,0
Macedônia,1999,0,0
Marrocos,1999,0,0
México,1999,0,0
Moldávia,1999,0,0
Montenegro,1999,0,0
Noruega,1999,0,0
Nova Zelândia,1999,0,0
Paises Baixos (Holanda),1999,0,0
Panamá,1999,0,0
Peru,1999,0,0
Porto Rico,1999,0,0
Portugal,1999,4408133,12406498
Reino Unido,1999,0,0
Republica Dominicana,1999,0,0
Romênia,1999,0,0
Rússia,1999,0,0
San Marino,1999,0,0
Sérvia,1999,0,0
Síria,1999,0,0
Suíça,1999,0,0
"Tcheca, República",1999,0,0
Tunísia,1999,0,0
Turquia,1999,0,0
Ucrânia,1999,0,0
Uruguai,1999,1712036,2756398
Não consta na tabela,1999,0,0
Não declarados,1999,0,0
Outros,1999,49646,230829
Africa do Sul,2000,0,0
Alemanha,2000,1164724,1668539
Argélia,2000,0,0
Arábia Saudita,2000,0,0
Argentina,2000,2724941,6556544
Armênia,2000,0,0
Austrália,2000,130097,446892
Áustria,2000,0,0
Bermudas,2000,0,0
Bélgica,2000,0,0
Bolívia,2000,0,0
Bósnia-Herzegovina,2000,0,0
Brasil,2000,0,0
Bulgária,2000,0,0
Canada,2000,0,0
Chile,2000,5559322,12096840
China,2000,0,0
"Coreia do Sul, República",2000,0,0
Croácia,2000,0,0
Emirados Árabes Unidos,2000,0,0
Eslovênia,2000,0,0
Eslováquia,2000,0,0
Espanha,2000,531425,1699237
Estados Unidos,2000,426442,899698
França,2000,3431635,8467949
Geórgia,2000,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2000,0,0
Grécia,2000,0,0
Hong Kong,2000,0,0
Hungria,2000,0,0
Indonesia,2000,0,0
Irlanda,2000,0,0
Israel,2000,0,0
Itália,2000,8261193,16364713
Japão,2000,0,0
